date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:34:04	217312/217312	---MCZ	200	added ('OK')	text/html	etag:W/%2265607da8-350e0%22	https://asbl.in/spectra/specifications/flats/?scroll=electrical-fittings&token=0	E:/websitecloning/Asblspectra/asbl.in/spectra/specifications/flats/index7c0b.html	(from https://asbl.in/spectra/specifications/flats/)
16:34:04	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20Nov%202023%2011:04:04%20GMT	https://asbl.in/spectra/specifications/buildings?scroll=parking&token=0	E:/websitecloning/Asblspectra/asbl.in/spectra/specifications/buildings64e3	(from https://asbl.in/spectra/specifications/buildings/)
16:34:04	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20Nov%202023%2011:04:04%20GMT	https://asbl.in/spectra/specifications/buildings?scroll=lifts&token=0	E:/websitecloning/Asblspectra/asbl.in/spectra/specifications/buildings16a6	(from https://asbl.in/spectra/specifications/buildings/)
16:34:04	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20Nov%202023%2011:04:04%20GMT	https://asbl.in/spectra/specifications/buildings?scroll=dg-backup&token=0	E:/websitecloning/Asblspectra/asbl.in/spectra/specifications/buildings65e1	(from https://asbl.in/spectra/specifications/buildings/)
16:34:05	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20Nov%202023%2011:04:05%20GMT	https://asbl.in/spectra/specifications/buildings?scroll=structure&token=0	E:/websitecloning/Asblspectra/asbl.in/spectra/specifications/buildingsbe05	(from https://asbl.in/spectra/specifications/buildings/)
16:34:05	217312/217312	---MCZ	200	added ('OK')	text/html	etag:W/%2265607da8-350e0%22	https://asbl.in/spectra/specifications/flats/?scroll=walls&token=0	E:/websitecloning/Asblspectra/asbl.in/spectra/specifications/flats/index863d.html	(from https://asbl.in/spectra/specifications/flats/)
16:34:05	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20Nov%202023%2011:04:05%20GMT	https://asbl.in/spectra/specifications/buildings?scroll=flooring&token=0	E:/websitecloning/Asblspectra/asbl.in/spectra/specifications/buildingsa14a	(from https://asbl.in/spectra/specifications/buildings/)
16:34:05	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20Nov%202023%2011:04:05%20GMT	https://asbl.in/spectra/specifications/buildings?scroll=external-finishes&token=0	E:/websitecloning/Asblspectra/asbl.in/spectra/specifications/buildings2cb5	(from https://asbl.in/spectra/specifications/buildings/)
16:34:05	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20Nov%202023%2011:04:05%20GMT	https://asbl.in/spectra/specifications/buildings?scroll=security&token=0	E:/websitecloning/Asblspectra/asbl.in/spectra/specifications/buildingse1a1	(from https://asbl.in/spectra/specifications/buildings/)
16:34:06	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20Nov%202023%2011:04:05%20GMT	https://asbl.in/spectra/specifications/buildings?scroll=fire-safety&token=0	E:/websitecloning/Asblspectra/asbl.in/spectra/specifications/buildings221a	(from https://asbl.in/spectra/specifications/buildings/)
16:34:06	217312/217312	---MCZ	200	added ('OK')	text/html	etag:W/%2265607da8-350e0%22	https://asbl.in/spectra/specifications/flats/?scroll=wall-tiling&token=0	E:/websitecloning/Asblspectra/asbl.in/spectra/specifications/flats/index391e.html	(from https://asbl.in/spectra/specifications/flats/)
16:34:06	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20Nov%202023%2011:04:06%20GMT	https://asbl.in/spectra/specifications/buildings?scroll=common-area-lighting&token=0	E:/websitecloning/Asblspectra/asbl.in/spectra/specifications/buildings5c4f	(from https://asbl.in/spectra/specifications/buildings/)
16:34:06	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20Nov%202023%2011:04:06%20GMT	https://asbl.in/spectra/specifications/buildings?scroll=wtp-stp&token=0	E:/websitecloning/Asblspectra/asbl.in/spectra/specifications/buildingsc427	(from https://asbl.in/spectra/specifications/buildings/)
